frame,timestamp,mean_magnitude_px_frame,mean_signal
676,2025-12-04 17:50:39.676504,0.78899926,95.31949041120733
677,2025-12-04 17:50:39.706538,1.1203188,94.29015731967176
678,2025-12-04 17:50:39.998124,0.99626255,93.95878859319038
679,2025-12-04 17:50:40.011084,0.8966879,94.1094437140137
680,2025-12-04 17:50:40.050834,0.9002045,94.20995602303124
681,2025-12-04 17:50:40.080272,0.9046037,94.01808949539829
682,2025-12-04 17:50:40.372156,0.9895657,94.00049870789319
683,2025-12-04 17:50:40.389070,1.0084813,93.92038808541506
684,2025-12-04 17:50:40.425343,1.0313911,94.00938477580813
685,2025-12-04 17:50:40.453046,1.0322355,94.134152423267
686,2025-12-04 17:50:40.802023,1.1245431,94.25017001405449
687,2025-12-04 17:50:40.817404,0.96088296,94.14326517658793
688,2025-12-04 17:50:40.854079,0.9917181,94.0525003400281
689,2025-12-04 17:50:40.882434,1.0835922,94.01858820329147
690,2025-12-04 17:50:41.177142,0.9070151,94.22219703495489
691,2025-12-04 17:50:41.195063,0.9037228,94.15287663780205
692,2025-12-04 17:50:41.228388,0.92544025,94.05073219386136
693,2025-12-04 17:50:41.258856,0.9310362,94.04873736228862
694,2025-12-04 17:50:41.554844,1.0188842,94.19680826948361
695,2025-12-04 17:50:41.566557,1.035871,94.18071360565807
696,2025-12-04 17:50:41.605157,0.96975344,94.27868703812848
697,2025-12-04 17:50:41.634121,0.9614029,94.20165933717188
698,2025-12-04 17:50:41.925280,0.9670087,94.14607607562225
699,2025-12-04 17:50:41.938219,0.980852,94.08500702724758
700,2025-12-04 17:50:41.976622,0.9737706,93.94078977195448
701,2025-12-04 17:50:42.006824,0.8229123,93.9399737044929
702,2025-12-04 17:50:42.306026,1.0119458,94.07312871197352
703,2025-12-04 17:50:42.320438,0.8008607,94.1515618624473
704,2025-12-04 17:50:42.351025,0.9249301,94.04143809221563
705,2025-12-04 17:50:42.387577,0.87634385,94.12925601849753
706,2025-12-04 17:50:42.699703,1.0066535,94.15355669402004
707,2025-12-04 17:50:42.714519,0.99784315,94.1302534342839
708,2025-12-04 17:50:42.752149,1.2044383,94.09833612912001
709,2025-12-04 17:50:42.782856,0.951057,94.01532393344516
710,2025-12-04 17:50:43.079915,0.8476016,94.02584213628326
711,2025-12-04 17:50:43.094427,1.0537839,94.22410119236524
712,2025-12-04 17:50:43.130839,0.93463,94.15940517749468
713,2025-12-04 17:50:43.162910,0.8411364,94.21222287709118
714,2025-12-04 17:50:43.453928,0.9128501,94.53864986172191
715,2025-12-04 17:50:43.467545,0.88886166,94.33023529945142
716,2025-12-04 17:50:43.507277,0.9636133,94.105408713787
717,2025-12-04 17:50:43.757738,1.1305301,94.05766876728477
718,2025-12-04 17:50:43.775860,0.92150503,94.0390805639933
719,2025-12-04 17:50:43.808534,0.9426054,94.06070635172507
720,2025-12-04 17:50:43.842470,1.037734,94.05100421634855
721,2025-12-04 17:50:44.139834,1.0345181,94.06764292514848
722,2025-12-04 17:50:44.152221,0.95847833,94.14924967130617
723,2025-12-04 17:50:44.190579,0.9622086,94.1305254567711
724,2025-12-04 17:50:44.221200,0.9006725,94.18733281951307
725,2025-12-04 17:50:44.508541,0.93997586,94.19118647141497
726,2025-12-04 17:50:44.522795,0.9721645,94.1550074806184
727,2025-12-04 17:50:44.562286,0.9989641,94.25542911547355
728,2025-12-04 17:50:44.589000,0.92079717,94.0068005621798
729,2025-12-04 17:50:44.881144,0.96839607,94.03300539511267
730,2025-12-04 17:50:44.893522,0.90460813,94.18937298816702
731,2025-12-04 17:50:44.932259,0.9154782,94.32973659155823
732,2025-12-04 17:50:44.961199,0.79728854,94.10024028653035
733,2025-12-04 17:50:45.254321,0.76094556,94.16470961599492
734,2025-12-04 17:50:45.268990,0.7137342,94.07099786915718
735,2025-12-04 17:50:45.306755,0.75455266,94.09022079158544
736,2025-12-04 17:50:45.334343,0.96094584,94.0283810128304
737,2025-12-04 17:50:45.627522,0.8554162,93.93920297411253
738,2025-12-04 17:50:45.643827,0.831602,94.15858911003309
739,2025-12-04 17:50:45.678529,1.0006477,94.27773495942331
740,2025-12-04 17:50:45.708648,0.90909314,94.29700321893276
741,2025-12-04 17:50:45.996564,0.94751185,94.21258557374077
742,2025-12-04 17:50:46.009650,1.0498443,94.28798113977422
743,2025-12-04 17:50:46.046732,0.9807661,94.31772226504057
744,2025-12-04 17:50:46.078122,1.0665919,94.26576596998686
745,2025-12-04 17:50:46.377131,1.0935093,94.03617899079657
746,2025-12-04 17:50:46.396339,0.882677,94.12789590606157
747,2025-12-04 17:50:46.426758,0.9033082,94.00743528131659
748,2025-12-04 17:50:46.458724,0.9338424,94.01237702316725
749,2025-12-04 17:50:46.750087,0.9844321,94.07126989164438
750,2025-12-04 17:50:46.766169,1.159356,94.15224191866528
751,2025-12-04 17:50:46.802159,1.1683269,94.29364827492407
752,2025-12-04 17:50:46.832552,0.9157482,94.20991068595004
753,2025-12-04 17:50:47.119211,0.87023413,94.13977422133563
754,2025-12-04 17:50:47.133264,1.0420853,94.09606927506007
755,2025-12-04 17:50:47.169235,1.1014566,94.15514349186199
756,2025-12-04 17:50:47.199842,0.9645636,94.0704538241828
757,2025-12-04 17:50:47.503883,0.93277943,94.03939792356168
758,2025-12-04 17:50:47.517654,1.1300716,94.10128303939793
759,2025-12-04 17:50:47.568894,0.93884295,94.12590107448882
760,2025-12-04 17:50:47.811516,1.0682428,94.04334224962597
761,2025-12-04 17:50:47.825593,0.966601,94.0315546085143
762,2025-12-04 17:50:47.862342,0.9732122,94.15963186290067
763,2025-12-04 17:50:47.893077,0.7584004,94.40594822505327
764,2025-12-04 17:50:48.199592,0.93794006,94.29809130888154
765,2025-12-04 17:50:48.213681,1.0505615,94.28979462302217
766,2025-12-04 17:50:48.250831,0.9068431,94.2397424853788
767,2025-12-04 17:50:48.280292,1.0839115,94.17491045926464
768,2025-12-04 17:50:48.568809,1.0082494,94.1126173096976
769,2025-12-04 17:50:48.583515,1.050237,93.96903477354128
770,2025-12-04 17:50:48.621229,0.9842197,94.17758534705536
771,2025-12-04 17:50:48.648886,0.9517045,94.23480074352813
772,2025-12-04 17:50:48.940125,0.8964109,94.16362152604616
773,2025-12-04 17:50:48.952007,0.9782343,94.10831028698372
774,2025-12-04 17:50:48.991194,0.9434841,94.1302080972027
775,2025-12-04 17:50:49.022388,1.0205392,94.05027882304937
776,2025-12-04 17:50:49.323755,0.8709878,94.28294872376117
777,2025-12-04 17:50:49.336021,1.0186896,94.29101872421454
778,2025-12-04 17:50:49.374404,0.86472785,94.32701636668631
779,2025-12-04 17:50:49.405111,0.8577351,94.06093303713106
780,2025-12-04 17:50:49.694320,0.8709556,94.02566078795847
781,2025-12-04 17:50:49.707261,0.871385,93.93702679421499
782,2025-12-04 17:50:49.744538,0.84276885,94.20297411252663
783,2025-12-04 17:50:49.774620,1.0233647,94.18901029151743
784,2025-12-04 17:50:50.068589,0.89791703,94.17754000997415
785,2025-12-04 17:50:50.080560,1.1779443,94.19390669628689
786,2025-12-04 17:50:50.119820,1.1847001,94.25978147526862
787,2025-12-04 17:50:50.150119,0.924835,94.11760438862946
788,2025-12-04 17:50:50.446285,0.8993016,94.0031735956839
789,2025-12-04 17:50:50.456940,1.0442734,94.01917758534705
790,2025-12-04 17:50:50.496790,1.250196,94.38622659473184
791,2025-12-04 17:50:50.528847,1.2855575,94.48528811715101
792,2025-12-04 17:50:50.838682,1.2611296,94.63354037267081
793,2025-12-04 17:50:50.855128,1.0290473,94.85786825044204
794,2025-12-04 17:50:50.890440,1.0339098,95.4647050822868
795,2025-12-04 17:50:50.924625,1.3736118,95.79806864034093
796,2025-12-04 17:50:51.223172,1.1537579,95.70562633177676
797,2025-12-04 17:50:51.238494,1.2339922,95.84961690166386
798,2025-12-04 17:50:51.277195,1.3185939,96.07680101555061
799,2025-12-04 17:50:51.307041,1.3127645,96.02597814752686
800,2025-12-04 17:50:51.619945,1.3874491,95.96282359341706
801,2025-12-04 17:50:51.634064,1.2258617,95.87142403772044
802,2025-12-04 17:50:51.671445,1.1096805,95.57519154916807
803,2025-12-04 17:50:51.700043,1.0610783,95.21630321439906
804,2025-12-04 17:50:51.996796,0.9959473,94.91494763567121
805,2025-12-04 17:50:52.008347,1.1176199,94.15414607607562
806,2025-12-04 17:50:52.046983,1.0864803,93.93874960330054
807,2025-12-04 17:50:52.076592,1.0960753,93.99519426939294
808,2025-12-04 17:50:52.375835,1.2504194,93.95112662646778
809,2025-12-04 17:50:52.388022,0.9791843,93.8169288661196
810,2025-12-04 17:50:52.427701,1.09773,93.89957836514485
811,2025-12-04 17:50:52.458513,1.0020491,93.8522464523734
812,2025-12-04 17:50:52.750854,1.057256,93.80210364056762
813,2025-12-04 17:50:52.764107,0.97721344,93.90406673618352
814,2025-12-04 17:50:52.802514,1.107516,94.11288933218479
815,2025-12-04 17:50:52.832283,1.031245,94.0597542730199
816,2025-12-04 17:50:53.126088,1.0475104,93.90193589336718
817,2025-12-04 17:50:53.141073,1.0773481,94.00417101147028
818,2025-12-04 17:50:53.177415,1.2316962,94.08654848800835
819,2025-12-04 17:50:53.208394,1.02125,94.24223602484471
820,2025-12-04 17:50:53.499989,0.88652396,94.3871333363558
821,2025-12-04 17:50:53.517748,0.968006,94.13193090628825
822,2025-12-04 17:50:53.563966,1.0664357,93.98376932493086
823,2025-12-04 17:50:53.798812,1.0892081,94.03237067597588
824,2025-12-04 17:50:53.812634,0.9982628,94.03767511447613
825,2025-12-04 17:50:53.848242,0.9628128,94.06288253162262
826,2025-12-04 17:50:53.878550,0.94347775,93.98168381919572
827,2025-12-04 17:50:54.181024,0.8002324,93.76538060479666
828,2025-12-04 17:50:54.192867,0.903457,93.61078115790906
829,2025-12-04 17:50:54.232349,1.074412,93.72058756857234
830,2025-12-04 17:50:54.263281,1.0756412,93.84530987894999
831,2025-12-04 17:50:54.556800,0.9105282,93.86045246407036
832,2025-12-04 17:50:54.571082,0.9446746,93.8168835290384
833,2025-12-04 17:50:54.607052,1.069883,94.00453370811987
834,2025-12-04 17:50:54.639990,0.95500815,94.08940472412387
835,2025-12-04 17:50:54.941917,0.8924676,93.96640522283175
836,2025-12-04 17:50:54.958386,0.8634442,94.08523371265358
837,2025-12-04 17:50:54.992438,0.98837036,94.13673663689532
838,2025-12-04 17:50:55.021545,0.99202794,93.96908011062247
839,2025-12-04 17:50:55.327367,0.9096153,94.17749467289296
840,2025-12-04 17:50:55.336328,0.8893134,93.93203971528312
841,2025-12-04 17:50:55.377339,1.1373792,93.72648138912817
842,2025-12-04 17:50:55.637827,0.8029315,93.74792582853516
843,2025-12-04 17:50:55.655522,0.87120426,93.74466155868885
844,2025-12-04 17:50:55.689597,0.8446162,93.97180033549441
845,2025-12-04 17:50:55.718563,0.9084101,93.94051774946729
846,2025-12-04 17:50:56.023539,1.0753336,93.97751280772543
847,2025-12-04 17:50:56.040631,1.0588468,94.04887337353222
848,2025-12-04 17:50:56.079661,1.0868323,94.08201477988847
849,2025-12-04 17:50:56.109573,0.93842995,94.05594595819922
850,2025-12-04 17:50:56.389824,0.85951924,93.95570567166885
851,2025-12-04 17:50:56.404446,0.89841014,93.91526499523961
852,2025-12-04 17:50:56.439842,1.0875134,93.81638482114522
853,2025-12-04 17:50:56.475999,0.8417477,93.78895588702
854,2025-12-04 17:50:56.768666,0.88903075,93.81461667497847
